SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
MALUPAPER,EQ,46.29,46.54,45.51,45.78,46,46.54,6789,311790.57,09-Jan-2025,197,INE383H01017
MAL,SM,41.15,41.2,40.25,40.25,40.25,40.2,8000,327920.00,09-Jan-2025,5,INE00C401011
ABSLAMC,EQ,798.1,806,765,771.75,778.3,799.15,409046,320888321.55,09-Jan-2025,35969,INE404A01024
AEROFLEX,EQ,202.01,204.4,195.3,196.09,196.55,202.86,417033,83176521.93,09-Jan-2025,10733,INE024001021
828GS2032,GS,111,111,110.2,110.2,111,110.5,5003,551333.80,09-Jan-2025,3,IN0020060086
TIMKEN,EQ,2899,2996.75,2865.65,2934.8,2940.1,2898.15,255285,746676743.60,09-Jan-2025,35900,INE325A01013
96IIFL28,N5,959.85,970.01,954.66,964.82,970.01,953.06,5029,4830890.50,09-Jan-2025,46,INE477L08154
NXST,RR,138.01,139.65,137.5,139.38,139.39,138.01,193238,26731531.30,09-Jan-2025,1349,INE0NDH25011
RELTD,EQ,126,130.34,122.24,126.02,123,128.68,84013,10563468.42,09-Jan-2025,1049,INE206N01018
RICHA,SM,80.85,80.85,80.85,80.85,80.85,77,37000,2991450.00,09-Jan-2025,25,INE0J1P01015
JHS,EQ,21.01,21.19,20.1,20.5,20.86,21.01,328239,6782107.49,09-Jan-2025,852,INE544H01014
KARMAENG,EQ,76.99,76.99,72.84,72.85,72.87,76.68,21291,1567934.48,09-Jan-2025,408,INE725L01011
BSLNIFTY,EQ,27.38,27.39,26.98,27,27.04,27.15,276944,7503735.12,09-Jan-2025,9753,INF209KB19D1
CENTUM,EQ,2050.35,2094.9,1968.25,2002.9,2001,2039.7,12939,26212436.65,09-Jan-2025,2921,INE320B01020
EXIDEIND,EQ,404.8,406.8,396.45,397.45,398.25,405.45,1898879,760668965.90,09-Jan-2025,50025,INE302A01020
719GS2060,GS,104.2,104.2,104.2,104.2,104.2,104.15,10,1042.00,09-Jan-2025,1,IN0020200039
HCG,EQ,490,496,479.15,482.55,487.4,486.1,118064,57656347.20,09-Jan-2025,4618,INE075I01017
HERITGFOOD,EQ,463,464,452,456.95,457.8,459.1,165311,75627482.00,09-Jan-2025,5547,INE978A01027
TATAPOWER,EQ,374.05,376,366,367.15,367.2,374.05,6423717,2369447599.30,09-Jan-2025,131671,INE245A01021
UTIAMC,EQ,1260.1,1270,1188.15,1210.1,1209.85,1254.45,293985,355432583.95,09-Jan-2025,32131,INE094J01016
PRITIKAUTO,EQ,24.4,24.6,23.9,24.04,24.14,24.43,129472,3133525.01,09-Jan-2025,1062,INE583R01029
LIQUID1,EQ,1028.67,1028.7,1028.67,1028.69,1028.69,1028.5,137612,141560719.48,09-Jan-2025,545,INF174KA1LV5
METROPOLIS,EQ,2026.6,2037.75,1980,2000.3,1987.1,2026.6,111304,222417012.65,09-Jan-2025,14776,INE112L01020
APEXECO,SM,146.5,157.75,142.4,153.6,151.6,146.9,356800,53817600.00,09-Jan-2025,199,INE0T4V01015
CANBK,EQ,97.15,97.38,95.54,95.74,95.88,97.14,19527220,1879293507.57,09-Jan-2025,89667,INE476A01022
EIHAHOTELS,EQ,417.5,423.5,404.1,406.6,406.65,419.15,28396,11663856.50,09-Jan-2025,2026,INE276C01014
699GS2051,GS,97.02,100.32,97.02,99.07,99.07,99.5,1035,103605.46,09-Jan-2025,8,IN0020210194
VRAJ,EQ,215.01,216.5,211.06,211.88,212.45,215.08,35181,7515179.78,09-Jan-2025,1179,INE0S2V01010
ROSSARI,EQ,795.8,834,785.85,815.75,824.4,808.45,75083,60745503.65,09-Jan-2025,10389,INE02A801020
BHAGYANGR,EQ,94.57,95.21,91.5,92.18,91.5,94.58,20531,1919197.04,09-Jan-2025,716,INE458B01036
BSL,EQ,261.15,264.5,246.9,251.85,250.6,261.15,23989,6128981.00,09-Jan-2025,1084,INE594B01012
ESAFSFB,EQ,38.85,39.46,38.8,38.93,38.99,39.06,253951,9909973.11,09-Jan-2025,2473,INE818W01011
